location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-01,75,17.16
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-01,452,17.17
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-02,63,17.14
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-02,428,16.01
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-03,127,17.17
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-03,892,15.83
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-04,121,17.68
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-04,875,16.7
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-05,106,17.7
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-05,716,15.62
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-06,121,16.74
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-06,999,17.18
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-07,111,16.94
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-07,805,16.43
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-08,73,17.01
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-08,427,17.19
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-09,89,17.12
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-09,477,16.37
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-10,218,15.44
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-10,1244,17.21
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-11,201,15.03
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-11,1347,16.84
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-12,213,15.69
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-12,1365,16.75
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-13,234,15.74
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-13,1405,16.13
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-14,211,16.08
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-14,1370,17.28
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-15,131,16.47
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-15,816,17.65
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-16,117,16.08
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-16,700,16.7
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-17,227,16.44
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-17,1513,16.29
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-18,240,15.87
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-18,1489,17.11
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-19,224,16.21
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-19,1466,16.62
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-20,215,16.14
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-20,1465,15.82
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-21,195,16.63
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-21,1339,16.54
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-22,135,17.08
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-22,897,16.39
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-23,114,17.02
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-23,818,17.53
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-24,192,15.43
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-24,1498,17.15
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-25,226,15.61
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-25,1648,17.29
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-26,250,16.2
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-26,1610,16.34
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-27,225,16.05
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-27,1424,15.56
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-28,258,16.35
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-28,1664,16.77
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-29,150,17.51
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-29,899,15.54
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-30,126,16.77
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-30,869,16.67
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-01-31,137,17.28
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-01-31,702,15.21
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-01,208,16.39
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-01,1272,15.5
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-02,275,15.84
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-02,1692,16.62
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-03,58,15.59
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-03,465,16.08
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-04,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-04,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-05,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-05,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-06,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-06,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-07,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-07,0,
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-08,199,18.44
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,1,2022-02-08,801,17.76
De Boelelaan,52.33496,4.883243,Antonio Vivaldistraat richting Beethovenstraat,Beethovenstraat richting Antonio Vivaldistraat,-1,2022-02-09,296,18.59
