location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-01,518,11.75
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-01,595,12.84
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-02,444,11.71
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-02,397,12.29
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-03,409,12.42
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-03,406,13.63
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-04,332,12.59
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-04,336,12.81
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-05,182,12.39
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-05,154,12.86
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-06,448,12.91
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-06,476,13.23
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-07,263,12.02
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-07,272,13.73
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-08,284,13.3
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-08,282,13.7
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-09,510,11.12
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,1,2022-01-09,578,12.59
Diemerzeedijk,52.34374355,5.012412351,Thijs Hendriksenpad richting S114,S114 richting Thijs Hendriksenpad ,-1,2022-01-10,373,12.54
