location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-01,368,15.56
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-01,1367,13.2
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-02,330,15.29
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-02,1486,11.59
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-03,336,16.87
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-03,1732,14.09
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-04,304,16.27
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-04,1639,14.7
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-05,213,15.6
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-05,1165,14.07
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-06,357,16.94
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-06,1995,14.05
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-07,291,17.19
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-07,1436,14.64
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-08,202,15.36
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-08,1061,14.15
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-09,403,16.16
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-09,1849,11.61
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-10,460,17.39
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-10,2575,15.03
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-11,473,16.76
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-11,2702,14.85
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-12,483,16.49
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-12,2913,15.12
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-13,488,17.32
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-13,2633,14.86
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-14,478,17.56
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-14,2764,15.4
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-15,370,15.86
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-15,1787,14.62
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-16,403,16.4
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-16,1840,12.91
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-17,490,17.47
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-17,2786,14.8
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-18,399,18.22
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-18,2630,15.54
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-19,409,17.51
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-19,2558,15.16
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-20,434,17.34
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-20,2606,15.12
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-21,423,17.42
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-21,2459,15.53
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-22,393,17.6
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-22,1931,14.2
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-23,409,16.63
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-23,1984,13.9
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-24,475,17.61
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-24,2661,15.96
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-25,421,17.26
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-25,2706,15.87
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-26,467,18.46
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-26,2793,14.94
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-27,379,18.39
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-27,2405,14.71
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-28,516,17.72
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-28,3160,15.51
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-29,396,18.49
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-29,1869,13.62
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-30,532,16.96
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-30,2217,13.77
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-31,153,17.33
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-31,1037,15.56
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-01,378,19.49
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-01,2203,14.65
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-02,526,18.08
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-02,3085,14.97
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-03,441,18.62
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-03,2784,15.61
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-04,378,18.57
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-04,2360,15.64
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-05,425,18.01
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-05,2182,14.02
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-06,183,17.04
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-06,984,12.61
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-02-07,516,19.55
Fietspad Science Park (2.80 m),52.357669548,4.955033327,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-02-07,3111,14.85
