location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-01,1666,13.37
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-01,1812,12.2
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-02,1655,13.18
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-02,1992,10.77
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-03,1922,14.9
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-03,2183,13.54
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-04,1868,15.01
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-04,2010,14.06
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-05,1368,14.9
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-05,1447,13.63
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-06,2234,14.61
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-06,2469,13.29
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-07,1607,15.04
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-07,1792,14.06
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-08,1261,13.95
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-08,1362,14.03
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-09,1970,13.22
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-09,2400,10.97
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-10,2867,15.06
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-10,3013,14.72
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-11,3004,15.3
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-11,3135,14.72
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,-1,2022-01-12,3137,15.08
Fietspad Science Park,52.357710417,4.954411532,Science Park richting Henriëtta Leavittbrug,Henriëtta Leavittbrug richting Science Park ,1,2022-01-12,3194,14.77
