location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-01,2489,14.53
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-01,2492,12.97
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-02,1864,14.29
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-02,1924,13.71
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-03,3220,14.75
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-03,3523,13.84
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-04,3056,15.71
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-04,3116,13.5
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-05,2450,15.62
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-05,2466,13.25
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-06,3514,15.24
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-06,3641,13.85
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-07,2961,15.04
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-07,2968,13.83
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-08,1750,15.01
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-08,1868,14.02
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-09,2010,15.07
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-09,2032,13.36
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-10,3984,15.55
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-10,4094,13.63
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-11,3998,15.37
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-11,4300,14.06
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-12,4480,15.4
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-12,4679,13.43
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-13,4304,15.37
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,1,2022-01-13,4321,13.75
Geldersekade,52.376104,4.902494,Bantammerbrug richting Prins Hendrikkade,Prins Hendrikkade richting Bantammerbrug,-1,2022-01-14,4339,15.93
