location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-01,429,18.24
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-01,594,17.31
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-02,420,18.31
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-02,550,15.13
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-03,592,18.07
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-03,868,15.52
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-04,624,18.54
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-04,861,16.08
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-05,480,18.65
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-05,628,15.88
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-06,566,18.24
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-06,861,17.05
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-07,551,17.98
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-07,754,16.46
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-08,482,16.68
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-08,663,17.39
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-09,454,18.66
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-09,647,16.2
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-10,646,17.53
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-10,1025,17.51
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-11,741,17.73
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-11,1085,16.95
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-12,731,17.7
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-12,1156,16.48
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-13,741,18.69
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-13,1054,16.39
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-14,791,18.36
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-14,1148,17.17
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-15,756,15.96
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-15,1079,16.03
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-16,538,18.46
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-16,766,16.46
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-17,766,17.25
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-17,1156,15.71
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-18,653,16.81
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-18,1094,16.37
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-19,720,16.76
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-19,1077,15.64
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-20,712,17.67
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-20,1105,16.9
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-21,697,17.34
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-21,1149,16.08
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-22,713,16.54
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-22,1147,15.74
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-23,501,16.96
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-23,762,17.02
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-24,661,17.24
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-24,1154,17.29
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-25,725,16.53
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-25,1121,17.03
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-26,763,16.96
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-26,1211,15.6
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-27,699,18.41
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-27,1016,15.52
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-28,792,17.28
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-28,1288,16.15
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-29,609,18.19
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-29,962,14.91
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-30,523,17.81
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-30,878,16.41
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-01-31,347,19.05
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-01-31,504,16.05
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-01,546,18.46
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-01,892,15.61
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-02,813,17.54
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-02,1273,15.9
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-03,653,17.44
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-03,945,16.46
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-04,549,18.14
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-04,983,15.92
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-05,687,17.23
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-05,1022,14.6
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-06,307,19.37
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-06,399,15.58
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-07,177,17.84
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-07,405,16.63
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-08,425,17.72
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-08,524,15.94
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-09,763,17.2
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-09,1140,15.83
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-10,750,18.15
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-10,1154,16.23
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-11,847,18.13
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-11,1301,16.26
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-12,753,15.88
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-12,1261,16.4
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-13,490,16.63
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-13,788,17.85
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-14,719,17.25
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-14,1090,15.15
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-15,556,17.76
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-15,913,16.28
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-16,546,17.7
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-16,779,14.65
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-17,560,19.72
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,1,2022-02-17,742,15.44
IJburglaan 1,52.358476,4.989496,Daguerrestraat richting Johan van der Keukenstraat,Johan van der Keukenstraat richting Daguerrestraat,-1,2022-02-18,262,17.13
