location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-01,2132,13.94
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-01,1740,16.41
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-02,1944,13.96
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-02,1526,16.07
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-03,2299,14.52
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-03,1666,16.76
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-04,1986,14.53
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-04,1470,17.99
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-05,1537,14.61
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-05,997,18.36
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-06,2423,15.03
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-06,1964,17.04
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-07,1666,15.47
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-07,1365,17.83
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-08,1316,15.34
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-08,1118,16.82
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-09,2191,13.58
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-09,1613,16.6
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-10,2788,14.43
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-10,2054,17.03
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-11,2744,15.03
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-11,1997,17.17
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-12,2938,14.2
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-12,2227,17.06
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-13,2647,14.6
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-13,2005,17.5
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-14,2989,14.68
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-14,2243,17.92
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-15,2521,14.13
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-15,2043,16.28
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-16,2521,13.92
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-16,1944,16.89
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-17,3131,14.06
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-17,2182,18.04
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-18,2906,14.79
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-18,2217,17.11
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-19,2960,14.09
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-19,1786,17.12
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-20,2807,13.86
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-20,1944,18.24
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-21,2561,14.47
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-21,1876,18.23
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-22,2697,13.99
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-22,1988,17.61
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-23,2824,14.23
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-23,2218,17.0
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-24,2831,14.87
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-24,2075,17.77
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-25,2980,14.92
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-25,2108,17.71
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-26,3042,14.75
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-26,2325,17.35
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-27,2563,14.29
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-27,1762,17.98
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-28,3517,14.98
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-28,2506,17.83
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-29,2754,14.84
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-29,2145,17.35
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-30,3252,13.75
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-30,2393,17.4
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-01-31,1537,14.3
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-01-31,905,19.27
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-01,2512,14.47
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-01,1630,18.15
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-02,3627,14.43
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-02,2604,17.7
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-03,112,15.04
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-03,105,18.65
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-04,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-04,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-05,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-05,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-06,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-06,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-07,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-07,0,
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-08,1404,22.27
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-08,1517,17.36
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-09,2435,22.27
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-09,2502,17.77
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-10,2312,22.87
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-10,2416,17.59
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-11,2454,23.49
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-11,2585,16.6
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-12,2643,20.59
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-12,2543,17.3
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-13,2091,20.09
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-13,1968,16.88
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-14,2213,21.87
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-14,2177,18.16
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-15,1923,22.35
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-15,2022,18.64
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-16,1769,21.69
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-16,1840,18.6
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,-1,2022-02-17,1887,22.61
Jachthavenweg,52.333135,4.855049,Pramenpad richting Boeierspad,Boeierspad richting Pramenpad ,1,2022-02-17,1928,17.87
