location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-01,407,19.67
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-01,470,18.32
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-02,1500,18.14
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-02,1498,16.86
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-03,1091,18.85
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-03,1111,17.39
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-04,1449,19.38
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-04,1472,17.47
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-05,1508,19.28
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-05,1568,17.12
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-06,1539,19.3
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-06,1578,17.25
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-07,1249,19.62
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,1,2022-07-07,1269,17.14
Jan de jonghkade 3,52.378658,4.82829,Jan de jonghkade richting Gerbrandypark,Gerbrandypark richting Jan de jonghkade,-1,2022-07-08,1644,19.14
