location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-01,3361,16.43
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-01,141,11.37
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-02,2584,17.11
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-02,114,11.39
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-03,3603,17.18
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-03,125,11.88
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-04,3572,16.62
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-04,126,12.32
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-05,3256,16.04
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-05,85,11.78
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-06,4238,16.88
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-06,156,11.96
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-07,3973,16.81
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-07,129,12.67
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-08,3175,16.47
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-08,122,12.39
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,-1,2022-01-09,2851,16.73
Jan van Galenstraat,52.37562276,4.866627681,Marcantilaan richting Kop van Jut,Kop van Jut richting Marcantilaan,1,2022-01-09,108,12.42
