location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-01,255,16.95
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-01,346,17.58
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-02,189,16.36
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-02,253,19.1
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-03,387,16.56
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-03,517,18.63
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-04,395,17.91
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-04,482,19.93
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-05,342,16.95
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-05,434,20.6
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-06,416,17.93
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-06,514,19.1
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-07,323,17.5
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-07,415,20.24
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-08,202,19.43
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-08,278,19.61
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-09,217,16.84
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-09,320,19.52
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,-1,2022-01-10,480,17.82
Netwerkweg,52.412604,4.880053,Hardwareweg richting Softwareweg,Softwareweg richting Hardwareweg,1,2022-01-10,610,18.77
