location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-01,133,17.73
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-01,196,19.68
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-02,104,17.79
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-02,100,20.14
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-03,265,18.4
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-03,337,22.11
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-04,236,19.0
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-04,321,22.78
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-05,190,17.85
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-05,236,23.25
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-06,277,19.26
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-06,343,22.51
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-07,159,18.74
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-07,237,22.16
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-08,59,18.07
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-08,86,20.4
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-09,81,18.36
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-09,113,20.54
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-10,206,19.63
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-10,297,22.41
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-11,233,19.55
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-11,280,21.12
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-12,283,18.62
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-12,405,20.61
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-13,297,18.26
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-13,421,21.87
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-14,297,18.88
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-14,370,22.48
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-15,158,18.3
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-15,213,20.13
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-16,174,17.03
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-16,236,20.04
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-17,205,19.69
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-17,428,23.84
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-18,195,19.49
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-18,323,21.87
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-19,188,18.13
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-19,274,23.04
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-20,204,18.59
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-20,271,25.08
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-21,192,18.62
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-21,298,23.93
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-22,144,17.28
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-22,206,21.6
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-23,150,18.34
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-23,198,19.39
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-24,202,19.88
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-24,317,23.3
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-25,245,21.21
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-25,349,23.6
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-26,68,19.56
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-26,185,24.45
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,-1,2022-01-27,181,19.27
Nieuwe Hemweg,52.404118,4.842763,Methaanweg richting Kabelweg,Kabelweg richting Methaanweg,1,2022-01-27,180,24.43
