location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-01,8,6.12
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-01,141,13.42
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-02,8,8.38
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-02,81,13.28
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-03,8,8.75
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-03,99,13.29
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-04,11,9.36
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-04,109,14.39
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-05,8,8.62
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-05,99,13.91
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-06,21,9.48
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-06,116,14.11
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-07,15,10.13
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-07,123,13.84
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-08,12,10.5
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-08,97,14.47
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,-1,2022-01-09,8,8.25
Panamalaan,52.371847,4.933759,Czaar Peterstraat richting Frans de Wollantstraat,Frans de Wollantstraat richting Czaar Peterstraat,1,2022-01-09,107,14.9
