location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-01,287,15.48
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-01,260,18.1
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-02,203,15.98
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-02,249,17.07
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-03,266,16.62
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-03,356,17.25
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-04,286,17.0
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-04,379,17.17
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-05,273,17.18
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-05,363,15.88
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-06,298,15.95
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-06,472,18.09
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-07,312,16.72
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-07,361,17.72
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,-1,2022-01-08,233,15.48
Papaverweg,52.39592057,4.907727031,Struisgrasstraat richting Fonteinkruidstraat,Fonteinkruidstraat richting Struisgrasstraat ,1,2022-01-08,326,18.35
