location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-01,61,13.21
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-01,1692,14.05
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-02,63,12.48
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-02,1447,14.85
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-03,94,11.15
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-03,2750,15.0
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-04,111,11.79
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-04,2761,15.08
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-05,111,12.68
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-05,2247,15.4
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-06,73,13.04
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-06,2941,14.6
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-07,61,13.77
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-07,2605,14.98
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-08,52,12.85
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-08,1641,14.72
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-09,74,12.92
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-09,1701,14.95
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-10,98,12.73
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-10,3371,14.61
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-11,101,11.28
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-11,3630,14.6
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-12,112,12.84
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-12,3582,14.59
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-13,106,11.97
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-13,3552,14.41
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-14,100,12.15
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-14,3627,14.63
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-15,81,12.98
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-15,2527,14.27
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-16,78,13.51
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-16,2116,14.61
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-17,107,13.42
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-17,3801,15.16
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-18,88,12.62
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-18,3885,14.48
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-19,71,11.73
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-19,3560,14.61
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-20,84,12.8
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-20,3742,14.79
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-21,82,12.95
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-21,3698,15.04
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-22,84,13.76
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-22,2736,15.04
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-23,86,15.49
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-23,2162,14.64
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,-1,2022-01-24,112,13.35
Plesmanlaan,52.351376,4.834098,Otto Heldringstraat richting Maassluisstraat,Maassluisstraat richting Otto Heldringstraat,1,2022-01-24,3765,14.77
