location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-01,15,8.13
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-01,1071,15.7
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-02,5,8.6
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-02,974,15.71
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-03,9,9.44
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-03,1562,15.91
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-04,5,8.6
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-04,1603,15.55
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-05,10,10.6
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-05,1404,15.23
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-06,3,12.67
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-06,396,15.25
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-07,0,
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-07,311,15.94
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-08,1,5.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-08,250,16.45
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-09,3,12.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-09,236,15.42
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-10,1,10.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-10,415,15.36
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-11,5,13.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-11,393,15.42
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-12,5,13.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-12,1978,15.57
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-13,8,8.62
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-13,1903,16.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-14,12,11.92
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-14,2102,15.68
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-15,9,9.0
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-15,2032,15.53
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-16,11,7.36
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-16,1347,16.01
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-17,7,9.86
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-17,2100,15.18
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-18,13,8.92
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-18,2155,15.88
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-19,7,14.14
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,1,2022-01-19,2112,15.48
Pontanusstraat,52.362901,4.930575,Tweede van Swindenstraat  richting Javastraat,Javastraat richting Tweede van Swindenstraat,-1,2022-01-20,9,14.0
