location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-01,155,19.92
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-01,163,15.94
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-02,111,21.03
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-02,127,16.35
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-03,652,22.3
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-03,608,16.39
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-04,703,21.73
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-04,696,17.69
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-05,616,23.62
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-05,612,18.2
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-06,691,21.2
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-06,699,17.62
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-07,601,22.3
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-07,620,18.05
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-08,216,22.42
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-08,240,19.26
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-09,181,22.04
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-09,177,16.39
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-10,974,21.57
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-10,894,17.84
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-11,949,21.43
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-11,940,17.75
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-12,891,21.59
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-12,759,17.68
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-13,975,21.6
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-13,852,17.32
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-14,898,21.81
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-14,840,17.67
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-15,336,21.69
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-15,311,17.9
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-16,214,21.19
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-16,233,16.39
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-17,928,21.02
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-17,928,17.2
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,-1,2022-01-18,1063,21.65
Skusjespad,52.336923,4.855587,Amstelveenseweg richting Jachthavenweg,Jachthavenweg richting Amstelveenseweg ,1,2022-01-18,930,17.68
