location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-01,783,12.7
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-01,366,12.11
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-02,683,13.13
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-02,301,11.84
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-03,1746,13.48
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-03,758,12.03
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-04,1812,13.33
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-04,849,12.47
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-05,1445,13.22
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-05,747,11.74
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-06,2015,13.33
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-06,931,12.67
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-07,1617,13.25
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-07,770,12.16
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-08,757,12.86
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-08,363,12.72
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-09,801,12.84
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-09,392,11.64
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,-1,2022-01-10,2678,13.2
Strawinskylaan (oud),52.341014,4.871323,Minervalaan richting Parnassusweg,Parnassusweg richting Minervalaan ,1,2022-01-10,1133,12.76
