location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-08,735,17.13
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-08,881,18.04
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-09,1099,17.12
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-09,2053,17.93
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-10,1084,16.93
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-10,2101,18.28
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-11,1120,16.81
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-11,1886,17.78
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-12,587,16.18
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-12,855,18.07
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-13,417,16.8
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-13,721,18.55
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-14,960,17.32
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-14,1888,18.27
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-15,1014,17.46
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-15,2068,18.45
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-16,921,17.43
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-16,1793,17.72
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-17,969,17.45
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-17,2039,17.43
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-18,402,17.32
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-18,874,18.8
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-19,447,17.68
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-19,510,17.77
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-20,220,17.72
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-20,353,17.7
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-21,718,17.97
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-21,1267,17.68
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-22,1533,17.8
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-22,2072,18.32
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-23,1313,17.59
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-23,2304,18.48
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-24,1045,17.5
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-24,2002,18.62
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-25,1078,17.35
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-25,1901,17.81
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-26,834,16.82
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-26,1062,18.59
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-27,709,16.42
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-27,987,18.35
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-02-28,1600,16.79
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-02-28,2783,18.97
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-01,1641,16.66
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-01,3033,19.03
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-02,1882,16.48
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-02,3222,19.43
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-03,2063,16.51
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-03,3638,19.35
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-04,1490,16.74
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-04,2820,19.2
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-05,745,16.53
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-05,1044,18.81
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-06,474,16.61
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-06,656,19.24
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-07,0,
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-07,0,
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-08,612,16.61
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-08,800,19.14
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-09,1397,16.7
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-09,2807,18.94
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-10,1517,16.7
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-10,3091,19.04
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-11,1478,16.77
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-11,2629,18.96
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-12,744,16.98
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-12,1053,18.46
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-13,630,16.75
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-13,989,18.5
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-14,1288,17.28
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-14,2738,18.56
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-15,1599,17.28
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-15,3137,19.21
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-16,1379,16.89
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-16,2850,19.17
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-17,1473,17.4
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-17,3165,17.95
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-18,1561,16.56
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-18,2764,19.2
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-19,394,16.37
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-19,536,19.84
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-20,557,16.94
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-20,864,19.25
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-21,1487,16.84
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-21,2877,19.12
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-22,1781,16.98
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-22,3352,19.14
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-23,1820,16.99
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-23,3049,19.34
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-24,1902,17.11
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-24,3474,19.21
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-25,1710,16.73
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-25,2987,19.09
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-26,1087,16.81
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-26,1339,18.73
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-27,860,16.53
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-27,1161,18.52
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-28,1520,16.99
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-28,3017,19.54
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-29,1517,16.64
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-29,3381,19.53
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-30,1308,16.99
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-30,3190,19.5
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-03-31,1084,17.14
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-03-31,2693,19.1
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-01,1100,15.95
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-01,2128,18.79
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-02,722,16.62
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-02,1070,19.13
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-03,422,17.93
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-03,754,18.51
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-04,840,17.51
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-04,2359,17.69
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-05,1153,17.25
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-05,2926,18.03
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-06,970,17.83
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-06,2761,18.37
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-07,987,17.65
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-07,2362,18.11
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-08,1282,17.52
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-08,2826,18.44
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-09,543,17.53
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-09,1045,17.55
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-10,684,17.89
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-10,1003,18.22
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-11,1413,16.73
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-11,3214,19.48
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-12,1608,17.43
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-12,3786,19.24
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-13,1477,17.72
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-13,3476,18.54
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-14,1814,17.5
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-14,3776,18.41
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-15,1037,17.03
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-15,2017,19.49
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-16,925,16.54
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-16,1184,18.71
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-17,713,16.77
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-17,977,17.84
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,-1,2022-04-18,796,17.1
Strawinskylaan,52.341014,4.871323,Parnassusweg richting Minervalaan,Minervalaan richting Parnassusweg,1,2022-04-18,1168,18.5
