location,latitude,longitude,plusdirection,mindirection,direction,datetime,count,speed_mean
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-02,3973,16.72
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-02,4936,14.88
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-03,3960,17.0
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-03,4226,15.2
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-04,4200,16.9
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-04,4686,15.09
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-05,4173,16.93
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-05,4479,14.81
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-06,4698,16.71
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-06,5317,14.71
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-07,4014,15.99
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-07,4562,14.56
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-08,3623,15.96
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-08,4580,14.38
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-09,5277,17.07
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-09,5762,14.6
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-10,4918,17.11
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-10,5538,14.77
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-11,5146,16.69
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-11,5808,14.8
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-12,5486,16.68
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-12,6049,14.87
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-13,4985,16.57
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,1,2022-05-13,5814,14.63
Weesperzijde,52.354533,4.908556,Buurmanstraat richting Oetgensstraat,Oetgensstraat richting Buurmanstraat,-1,2022-05-14,5155,16.06
